"name","DNA_97_S38","DNA73_S32","DNA76_S35"
"Betacoronavirus muris",0,0,0
"Betacoronavirus pandemicum",1,0,0
"Betacoronavirus rousetti",0,0,0
"Betacytorhabdovirus alpharosae",0,0,0
"Betacytorhabdovirus broussonetiae",0,0,0
"Betacytorhabdovirus hordei",0,0,0
"Betadintovirus terrapene",0,0,0
"Betaendornavirus botrytidis",0,0,0
"Betaentomopoxvirus ahonmai",0,0,0
"Betaentomopoxvirus amoorei",0,0,0
"Betaentomopoxvirus cbiennis",71,5,0
"Betaentomopoxvirus mseparata",0,0,0
"Betafusarivirus rhizoctoniae",0,0,0
"Betafusellovirus hveragerdiense",0,0,0
"Betahymrhavirus heterodontonyx",0,0,0
"Betalipothrixvirus acidiani",0,0,0
"Betalipothrixvirus pezzuloense",0,0,0
"Betanucleorhabdovirus mali",0,0,0
"Betanucleorhabdovirus plectranthi",0,0,0
"Betanudivirus hezeae",0,2,1
"Betapapillomavirus 1",0,0,0
"Betapapillomavirus 2",0,0,1
"Betapapillomavirus 3",0,0,0
"Betapapillomavirus 5",0,0,0
"Betapartitivirus atkinsonellae",0,0,0
"Betapartitivirus fusarii",0,0,3
"Betapartitivirus octiheterobasidion",0,0,0
"Betapartitivirus pleuroti",0,0,0
"Betapartitivirus purpurae",0,0,0
"Betapartitivirus rhiso",0,0,0
"Betapartitivirus roselliniae",0,0,0
"Betapolyomavirus leporis",0,0,0
"Betapolyomavirus sasciureus",0,0,0
"Betapolyomavirus secuchlopygerythrus",0,0,0
"Betapolyomavirus securanorvegicus",0,0,0
"Betapolyomavirus tertidobsoniae",0,0,0
"Betaretrovirus maspfimon",0,0,0
"Betaretrovirus squmon",0,0,0
"Betatectivirus Wip1",1,0,0
"Betatorquevirus homini3",0,0,0
"Betatristromavirus kraflaense",0,0,0
"Betterkatzvirus betterkatz",0,0,0
"Biavirus raunefjordenense",5,0,0
"Bicaudavirus pozzuoliense",0,0,0
"Biomphalaria virus 3",0,0,0
"Biquartavirus 44RR2",0,0,0
"Biratnagar virus",0,33,0
"Birpovirus hominis",0,0,0
"Bismarckvirus shambre1",0,0,0
"Bixzunavirus tonenili",0,0,0
"Blattambidensovirus incertum1",3,1,1
"Blohavirus faecalis",0,0,0
"Blunervirus vaccinii",0,0,0
"Bocaparvovirus primate1",0,0,0
"Bocaparvovirus ungulate7",0,0,0
"Bocaparvovirus ungulate9",0,0,0
"Bohxovirus oralis",0,0,0
"Boiling Springs Lake RNA-DNA hybrid virus",0,0,0
"Bombyx mori bidensovirus",0,0,1
"Bombyx mori iflavirus",0,0,0
"Bongovirus reindeer",0,0,0
"Bonnellvirus smaasur",0,0,0
"Bostovirus bovis",0,0,0
"Botryotinia fuckeliana partitivirus 1",0,0,0
"Botrytimonavirus botrytidis",0,0,0
"Botrytimonavirus glycinis",0,0,0
"Bottigliavirus pozzuoliense",1,0,0
"Bottigliavirus puteoliense",0,0,0
"Bovine astrovirus",0,0,0
"Bragavirus p43",0,0,0
"Branisovskavirus Kc263",0,0,0
"Brazilian marseillevirus",0,0,0
"Brejeira virus",0,0,0
"Brevihamaparvovirus dipteran1",0,0,0
"Brevihamaparvovirus dipteran2",0,0,0
"Brigitvirus brigit",0,0,0
"Bristolvirus rhodeisland",0,0,0
"Brucesealvirus ZP2",0,0,0
"Bruynoghevirus Ab22",0,0,0
"Bruynoghevirus PAA2",0,0,0
"Bruynoghevirus PaP4",0,0,0
"Buchananvirus Sa179lw",0,0,0
"Buchavirus copri",0,0,0
"Buchavirus faecalis",0,0,0
"Buchavirus hominis",0,0,0
"Buchavirus intestinalis",0,0,0
"Buchavirus oralis",0,0,0
"Buchavirus splanchnicus",0,0,0
"Bucovirus buco",1,0,0
"Bufonid herpesvirus 1",0,4,0
"Bugaksanvirus R656",0,0,0
"Burzaovirus coli",1,0,0
"Burzaovirus faecalis",0,0,0
"Burzaovirus intestinihominis",0,0,0
"Busanvirus ACP17",0,0,0
"Cacao swollen shoot Ghana L virus",0,0,0
"Caeruleovirus BM15",0,0,0
"Caeruleovirus Bc431",0,1,0
"Caeruleovirus Bcp1",0,1,0
"Caeruleovirus deepblue",1,0,0
"Caligrhavirus lepeophtheirus",0,0,0
"Callevirus Calle",0,0,0
"Caminolopintovirus STGO351",0,0,0
"Camvirus joe",0,0,0
"Canhaevirus faecalis",0,0,0
"Canhaevirus hiberniae",0,0,0
"Cape gooseberry ilarvirus 1",0,0,0
"Capripoxvirus goatpox",0,0,0
"Capripoxvirus sheeppox",0,0,0
"Capulavirus euphorbiae",0,0,0
"Capvunavirus CpV1",0,0,0
"Carjivirus communis",0,0,0
"Carjivirus hominis",0,0,0
"Carlavirus necroligustri",0,0,0
"Carlavirus uniglycinis",0,0,1
"Carltongylesvirus Bp10",0,0,0
"Carltongylesvirus Bp7",0,0,0
"Carltongylesvirus DE15",0,0,1
"Carltongylesvirus GJ1",0,0,0
"Carltongylesvirus MLP1",0,0,0
"Carltongylesvirus PO1031",0,1,0
"Carltongylesvirus PYps16N",0,0,0
